Lp.;NieruchomoúÊ;Numer;Zmiana od;Liczba mieszkaÒcÛw;Stawka
1835;63-300 PLESZEW, Pacanowice 29A;1688/2025;2025.09.01;17;646
1836;63-300 PLESZEW, Pacanowice 31;1941/2025;2025.10.01;5;190
1837;63-300 Pleszew, Pacanowice 32;;2019.02.01;5;195
1838;63-300 PLESZEW, Pacanowice 33;;2019.11.01;3;117
1839;63-300 PLESZEW, Pacanowice 33A;;2019.02.01;5;195
1840;63-300 Pleszew, Pacanowice 34;3077/2020;2020.10.01;4;152
1841;63-300 PLESZEW, Pacanowice 34A;1554/2025;2025.07.01;3;117
1842;63-300 PLESZEW, Pacanowice 35;1398/2023;2023.09.01;4;156
1843;63-300 PLESZEW, Pacanowice 35A;873/2024;2024.08.01;4;156
1844;63-300 PLESZEW, Pacanowice 36;1773/2022;2023.01.01;4;152
1845;63-300 PLESZEW, Pacanowice 36A;;2019.02.01;5;195
1846;63-300 PLESZEW, Pacanowice 37;330/2021;2021.02.01;6;228
1847;63-300 pleszew, Pacanowice 38;3451/2020;2020.12.01;1;38
1848;63-300 Pleszew, Pacanowice 39;;2019.02.01;6;234
1849;63-300 Pleszew, Pacanowice 40;2562/2020;2020.08.01;4;152
1850;63-300 PLESZEW, Pacanowice 40A;;2019.02.01;1;39
1851;63-300 Pleszew, Pacanowice 43;2521/2020;2020.08.01;5;190
1852;63-300 PLESZEW, Pacanowice, £πkowa 1;1989/2025;2025.09.01;3;117
1853;63-300 PLESZEW, Pacanowice, £πkowa 2;441/2024;2024.02.01;3;117
1854;63-300 PLESZEW, Pacanowice, £πkowa 3;1282/2025;2025.06.01;1;39
1855;63-300 PLESZEW, Pacanowice, £πkowa 4;;2020.01.01;3;117
1856;63-300 PLESZEW, Pacanowice, £πkowa 5;299/2022;2022.02.01;4;156
1857;63-300 PLESZEW, Pacanowice, £πkowa 6;1815/2021;2021.12.01;4;156
1858;63-300 PLESZEW, Pacanowice, £πkowa 8;214/2025;2025.01.01;5;195
1859;63-300 PLESZEW, Pacanowice, £πkowa 10;;2019.07.01;2;78
1860;63-300 PLESZEW, Pacanowice, Wrzosowa 11;932/2022;2022.07.01;2;76
1861;63-300 PLESZEW, Pacanowice, Wrzosowa 13;1172/2023;2023.09.01;2;76
1862;63-300 PLESZEW, Pacanowice, Wrzosowa 16;774/2023;2023.06.01;1;39
1863;63-300 PLESZEW, Pacanowice, Wrzosowa 19;534/2022;2022.04.01;3;117
1864;63-300 PLESZEW, Pacanowice, Wrzosowa 21;2406/2020;2020.08.01;2;76
1865;63-300 Pleszew, Pardelak 1;;2019.02.01;2;78
1866;63-300 Pleszew, Pardelak 1A;2388/2025;2026.01.01;6;228
1867;63-300 PLESZEW, PARDELAK 3;3261/2020;2020.11.01;3;114
1868;63-300 PLESZEW, Pardelak 3A;1678/2025;2025.09.01;3;117
1869;63-300 Pleszew, Pardelak 4;;2019.11.01;3;117
1870;63-300 PLESZEW, Pardelak 5;772/2023;2023.04.01;1;39
1871;63-300 Pleszew, Pardelak 6;1456/2022;2022.10.01;3;114
1872;63-300 Pleszew, Pardelak 7;59/2025;2025.01.01;4;156
1873;63-300 PLESZEW, Pardelak 8;2060/2022;2023.01.01;5;190
1874;63-300 Pleszew, Pardelak 9;;2019.02.01;2;78
1875;63-300 Pleszew, Pardelak 10;;2019.02.01;1;39
1876;63-300 Pleszew, Pardelak 11;380/2024;2024.03.01;5;190
1877;63-300 Pleszew, Pardelak 11A;1918/2020;2020.08.01;6;228
1878;63-300 Pleszew, Pardelak 12;455/2023;2023.03.01;6;228
1879;63-300 Pleszew, Pardelak 12A;1865/2021;2021.11.01;3;114
1880;63-300 Pleszew, Pardelak 13;3723/2020;2021.01.01;5;190
1881;63-300 Pleszew, Pardelak 13a;1400/2023;2023.10.01;3;117
1882;63-300 PLESZEW, Piekarzew 1;860/2022;2022.07.01;2;78
1883;63-300 PLESZEW, Piekarzew 2;74/2025;2025.01.01;4;156
1884;63-300 Pleszew, Piekarzew 2/2;;2019.07.01;1;39
1885;63-300 PLESZEW, Piekarzew 4;296/2023;2023.02.01;3;114
1886;63-300 PLESZEW, Piekarzew 6;1668;2025.08.01;4;156
1887;63-300 PLESZEW, Piekarzew 6A;779/2024;2024.07.01;1;38
1888;63-300 Pleszew, Piekarzew 7;21/2023;2023.01.01;3;114
1889;63-300 PLESZEW, Piekarzew 7A;667/2025;2025.01.01;4;156
1890;63-300 PLESZEW, Piekarzew 9;2050/2020;2020.08.01;5;190
1891;63-300 PLESZEW, Piekarzew 10;46/2024;2024.01.01;4;152
1892;63-300 Pleszew, Piekarzew 12;2919/2020;2020.09.01;6;228
1893;63-300 PLESZEW, Piekarzew 13;11/2026;2026.01.01;7;266
1894;63-300 PLESZEW, Piekarzew 14;44/2026;2026.01.01;7;266
1895;63-300 PLESZEW, Piekarzew 17;196/2022;2022.02.01;2;78
1896;63-300 Pleszew, Piekarzew 17A;1277/2022;2022.10.01;2;78
1897;63-300 PLESZEW, Piekarzew 20;869/2025;2025.02.01;2;78
1898;63-300 PLESZEW, Piekarzew 21;2293/2020;2020.09.01;2;76
1899;63-300 PLESZEW, Piekarzew 23;1202/2025;2025.03.01;5;190
1900;63-300 PLESZEW, Piekarzew 24;1974/2025;2025.11.01;2;78
1901;63-300 PLESZEW, Piekarzew 25A;2498/2025;2026.01.01;5;190
1902;63-300 PLESZEW, Piekarzew 27;;2019.02.01;1;39
1903;63-300 Piekarzew 29;635/2023;2023.04.01;6;228
1904;63-300 PLESZEW, Piekarzew 32;1269/2021;2021.06.01;4;152
1905;63-300 Pleszew, Piekarzew 33;;2019.02.01;2;78
1906;63-300 PLESZEW, Piekarzew 34;1831/2020;2020.08.01;6;228
1907;63-300 PLESZEW, Piekarzew 35;677/2025;2025.02.01;3;117
1908;63-300 PLESZEW, Piekarzew 36;1716/2022;2022.11.01;1;38
1909;63-300 PLESZEW, Piekarzew 37;455/2022;2022.03.01;3;117
1910;63-300 Pleszew, Piekarzew 38;;2019.02.01;3;117
1911;63-300 PLESZEW, Piekarzew 39;68/2023;2023.01.01;3;117
1912;63-300 PLESZEW, Piekarzew 40A;2520/2020;2020.08.01;3;114
1913;63-300 PLESZEW, Piekarzew 40B;;2019.02.01;2;78
1914;63-300 PLESZEW, Piekarzew 41;886/2025;2025.02.01;2;76
1915;63-300 PLESZEW, Piekarzew 42;;2019.02.01;6;234
1916;63-300 PLESZEW, Piekarzew 43;1048/2023;2023.08.01;4;156
1917;63-300 PLESZEW, Piekarzew 44;;2019.02.01;4;156
1918;63-300 PLESZEW, Piekarzew 47;1121/2025;2025.04.01;7;266
1919;63-300 PLESZEW, Piekarzew 48;2770/2020;2020.09.01;6;228
1920;63-300 PLESZEW, Piekarzew 49;;2019.02.01;3;117
1921;63-300 PLESZEW, Piekarzew 49D;626/2023;2023.04.01;3;117
1922;63-300 PLESZEW, Piekarzew 50;712/2024;2024.07.01;4;152
1923;PLESZEW, Piekarzew 50A;79/2024;2024.02.01;4;152
1924;PLESZEW, Piekarzew 50B;78/2024;2024.01.01;3;114
1925;63-300 PLESZEW, Piekarzew 51;616/2025;2025.01.01;1;39
1926;63-300 PLESZEW, Piekarzew 52;;2019.02.01;2;78
1927;63-300 Pleszew, Piekarzew 52A;;2019.02.01;5;195
1928;63-300 PLESZEW, Piekarzew 52B;2829/2020;2020.09.01;1;38
1929;63-300 Pleszew, Piekarzew 52C;;2019.02.01;1;39
1930;63-300 PLESZEW, Piekarzew 52D;1846/2020;2020.08.01;3;114
1931;63-300 PLESZEW, Piekarzew 55;3559/2020;2020.11.01;8;304
1932;63-300 PLESZEW, Piekarzew 55A;2769/2020;2020.09.01;3;114
1933;63-300 Pleszew, Piekarzew 56;3100/2020;2020.10.01;4;152
1934;63-300 Pleszew, Piekarzew 56A;;2019.02.01;5;195
1935;63-300 Pleszew, Piekarzew 58;;2019.02.01;3;117
1936;63-300 PLESZEW, Piekarzew 58A;889/2024;2024.08.01;3;117
1937;63-300 Pleszew, Piekarzew 59;1295/2025;2025.05.01;4;152
1938;63-300 Pleszew, Piekarzew 60;317/2022;2022.02.01;6;234
1939;63-300 PLESZEW, Piekarzew, Szklana 2;;2019.02.01;1;39
1940;63-300 PLESZEW, Piekarzew, Szklana 3A;803/2024;2024.07.01;4;156
1941;63-300 PLESZEW, Piekarzew, SZKLANA 4;80/2024;2024.01.01;4;156
1942;63-300 PLESZEW, Piekarzew, SZKLANA 5;1303/2025;2025.03.01;3;117
1943;63-300 PLESZEW, Piekarzew, Szklana 6;;2019.02.01;4;156
1944;63-300 PLESZEW, Piekarzew, Szklana 7;1233/2025;2025.05.01;4;156
1945;63-300 PLESZEW, Piekarzew, Szklana 7A;85/2023;2023.01.01;5;195
1946;63-300 PLESZEW, Piekarzew, Szklana 8;115/2024;2024.02.01;3;117
1947;63-300 PLESZEW, Piekarzew, Szklana 10;1383/2025;2025.01.01;6;234
1948;63-300 PLESZEW, Piekarzew, Szklana 11;1558/2023;2023.09.01;7;266
1949;63-300 PLESZEW, Piekarzew, Szklana 11A;685/2021;2021.05.01;2;78
1950;63-300 Pleszew, Piekarzew, Szklana 12;234/2024;2024.02.01;5;190
1951;63-300 PLESZEW, Piekarzew, Szklana 13;348/2023;2023.03.01;3;117
1952;63-300 PLESZEW, Piekarzew, Szklana 13A;;2019.08.01;1;39
1953;63-200 Pleszew, 70 Pu≥ku Piechoty 2A;2038/2025;2025.11.01;54;2106
1954;63-300 Pleszew, 70 Pu≥ku Piechoty 4A;1987/2025;2025.11.01;49;1911
1955;63-300 Pleszew, 70 Pu≥ku Piechoty 4B;271/2026;2026.01.01;71;2769
1956;63-300 Pleszew, 70 Pu≥ku Piechoty 4C;2335/2025;2026.01.01;41;1599
1957;63-300 Pleszew, 70 Pu≥ku Piechoty 6-8;61/2026;2026.01.01;83;3237
1958;63-300 Pleszew, A. F. Modrzewskiego 1/1-50;2470/2025;2026.01.01;82;3198
1959;63-300 Pleszew, A. F. Modrzewskiego 1/51-100;2124/2025;2025.10.01;93;3627
1960;63-300 Pleszew, Aleje Mickiewicza 1;1473/2020;2020.08.01;3;114
1961;63-300 Pleszew, Aleje Mickiewicza 1;1638/2020;2020.08.01;1;38
1962;63-300 Pleszew, Aleje Mickiewicza 3;332/2024;2024.03.01;1;39
1963;63-300 Pleszew, Aleje Mickiewicza 5;39/2025;2025.01.01;4;156
1964;63-300 Pleszew, Aleje Mickiewicza 5A;1789/2025;2025.10.01;5;190
1965;63-300 Pleszew, Aleje Mickiewicza 8;659/2023;2023.05.01;3;117
1966;63-300 Pleszew, Aleje Mickiewicza 9;103/2023;2023.01.01;2;78
1967;63-300 Pleszew, Aleje Mickiewicza 10;3776/2020;2021.01.01;4;156
1968;63-300 Pleszew, Aleje Mickiewicza 11;12/2021;2021.01.01;2;76
1969;63-300 Pleszew, Aleje Mickiewicza 11A;;2019.02.01;4;156
1970;63-300 Pleszew, Aleje Mickiewicza 13;;2019.02.01;1;39
1971;63-300 Pleszew, Aleje Mickiewicza 14;;2020.01.01;3;117
1972;63-300 Pleszew, Aleje Mickiewicza 16;;2019.02.01;6;234
1973;63-300 Pleszew, ALEJE MICKIEWICZA 17;1508/2024;2024.11.01;1;39
1974;63-300 Pleszew, Aleje Mickiewicza 18;;2019.02.01;3;117
1975;63-300 Pleszew, Aleje Mickiewicza 19;1445/2024;2024.11.01;1;38
1976;63-300 Pleszew, Aleje Mickiewicza 20;505/2021;2021.02.01;2;78
1977;63-300 Pleszew, Aleje Mickiewicza 21;;2019.02.01;2;78
1978;63-300 Pleszew, Aleje Mickiewicza 22;;2019.02.01;3;117
1979;63-300 Pleszew, Aleje Mickiewicza 23;1657/2020;2020.03.01;1;39
1980;63-300 Pleszew, Aleje Mickiewicza 24;;2019.02.01;2;78
1981;63-300 Pleszew, Aleje Mickiewicza 25;;2019.05.01;1;39
1982;63-300 Pleszew, Aleje Mickiewicza 26;;2019.02.01;2;78
1983;63-300 Pleszew, Aleje Mickiewicza 27;;2020.01.01;4;156
1984;63-300 Pleszew, Aleje Mickiewicza 28;;2019.02.01;3;117
1985;63-300 Pleszew, Aleje Mickiewicza 29;1275/2025;2025.06.01;1;39
1986;63-300 Pleszew, Aleje Wojska Polskiego 2A;754/2024;2024.06.01;2;78
1987;63-300 Pleszew, Aleje Wojska Polskiego 3. 2;1465/2025;2025.08.01;2;76
1988;63-300 Pleszew, Aleje Wojska Polskiego 4;;2019.02.01;1;39
1989;63-300 Pleszew, Aleje Wojska Polskiego 5;1640/2025;2025.07.01;9;351
1990;63-300 Pleszew, Aleje Wojska Polskiego 5a;1006/2021;2021.05.01;4;156
1991;63-300 Pleszew, Aleje Wojska Polskiego 6;;2020.03.01;6;234
1992;63-300 Pleszew, Aleje Wojska Polskiego 8;13/2022;2021.08.01;1;39
1993;63-300 Pleszew, Aleje Wojska Polskiego 9;910/2025;2025.03.01;1;39
1994;63-300 Pleszew, Aleje Wojska Polskiego 9/2;1543/2023;2023.11.01;1;38
1995;63-300 Pleszew, Aleje Wojska Polskiego 10/1;;2019.03.01;3;117
1996;63-300 Pleszew, Aleje Wojska Polskiego 11/1;382/2025;2025.01.01;2;78
1997;63-300 Pleszew, ALEJE WOJSKA POLSKIEGO 11/2;110/2024;2023.09.01;5;195
1998;63-300 Pleszew, Aleje Wojska Polskiego 11A;798/2023;2023.05.01;1;39
1999;63-300 Pleszew, Aleje Wojska Polskiego 12;1755/2025;2025.09.01;16;624
2000;63-300 Pleszew, Aleje Wojska Polskiego 13;1896/2025;2025.10.01;2;78
2001;63-300 Pleszew, Aleje Wojska Polskiego 14;1199/2024;2024.09.01;1;39
2002;63-300 Pleszew, Aleje Wojska Polskiego 15;1891/2021;2021.11.01;4;156
2003;63-300 Pleszew, Aleje Wojska Polskiego 16;1556/2020;2020.08.01;1;38
2004;63-300 Pleszew, Aleje Wojska Polskiego 16A;;2019.02.01;3;117
2005;63-300 Pleszew, ALEJE WOJSKA POLSKIEGO 17;1072/2024;2024.09.01;1;39
2006;63-300 Pleszew, Aleje Wojska Polskiego 18/3;1157/2023;2023.07.01;6;234
2007;63-300 Pleszew, ALEJE WOJSKA POLSKIEGO 18/6;1942/2022;2023.01.01;4;156
2008;63-300 Pleszew, Aleje Wojska Polskiego 18/1;;2019.02.01;2;78
2009;63-300 Pleszew, Aleje Wojska Polskiego 18A;;2019.02.01;2;78
2010;63-300 Pleszew, Aleje Wojska Polskiego 18A;;2019.02.01;1;39
2011;63-300 Pleszew, Aleje Wojska Polskiego 20/1;;2019.11.01;3;117
2012;63-300 Pleszew, Aleje Wojska Polskiego 20/2;;2019.02.01;2;78
2013;63-300 Pleszew, Aleje Wojska Polskiego 20/3;2540/2020;2020.08.01;1;38
2014;63-300 Pleszew, ALEJE WOJSKA POLSKIEGO 20/4;1576/2023;2023.11.01;2;78
2015;63-300 Pleszew, Aleje Wojska Polskiego 22;3637/2020;2020.12.01;1;39
2016;63-300 Pleszew, Aleje Wojska Polskiego 24;1377/2021;2021.09.01;2;78
2017;63-300 Pleszew, Aleje Wojska Polskiego 25;1170/2023;2023.03.01;1;39
2018;63-300 Pleszew, ALEJE WOJSKA POLSKIEGO 27;234/2023;2023.01.01;5;195
2019;63-300 Pleszew, Aleje Wojska Polskiego 28;1932/2025;2025.10.01;24;936
2020;63-300 Pleszew, Aleje Wojska Polskiego 29;317/2024;2024.03.01;13;507
2021;63-300 Pleszew, Aleje Wojska Polskiego 31;1402/2023;2023.10.01;4;156
2022;63-300 Pleszew, Aleje Wojska Polskiego 32;50/2026;2026.01.01;24;936
2023;63-300 Pleszew, Aleje Wojska Polskiego 33;1276/2025;2025.06.01;1;39
2024;63-300 Pleszew, Aleje Wojska Polskiego 34/1;1052/2022;2022.08.01;1;39
2025;63-300 Pleszew, Aleje Wojska Polskiego 34/2;;2019.02.01;3;117
2026;63-300 Pleszew, Aleje Wojska Polskiego 35;1242/2023;2023.09.01;1;39
2027;63-300 Pleszew, Aleje Wojska Polskiego 35A;691/2021;2021.05.01;2;78
2028;63-300 Pleszew, Aleje Wojska Polskiego 35B;;2019.02.01;1;39
2029;63-300 Pleszew, Aleje Wojska Polskiego 36;49/2026;2026.01.01;70;2730
2030;63-300 Pleszew, Aleje Wojska Polskiego 38;1526/2025;2025.06.01;48;1872
2031;63-300 Pleszew, Aleje Wojska Polskiego 39;1084/2025;2025.04.01;4;156
2032;63-300 Pleszew, Aleje Wojska Polskiego 40;132/2026;2025.12.01;59;2301
2033;63-300 Pleszew, Aleje Wojska Polskiego 40A;48/2026;2026.01.01;58;2262
2034;63-300 Pleszew, Aleje Wojska Polskiego 41 B;2446/2025;2026.01.01;73;2847
2035;63-300 Pleszew, Aleje Wojska Polskiego 42/1;1080/2023;2023.08.01;4;156
2036;63-300 Pleszew, Aleje Wojska Polskiego 42/2;1565/2025;2025.07.01;2;78
2037;63-300 Pleszew, Aleje Wojska Polskiego 42/3;;2019.02.01;2;78
2038;63-300 Pleszew, Aleje Wojska Polskiego 44;;2019.02.01;2;78
2039;63-300 Pleszew, Aleje Wojska Polskiego 46;1308/2025;2025.01.01;4;156
2040;63-300 Pleszew, Aleje Wojska Polskiego 48;;2019.02.01;2;78
2041;63-300 Pleszew, Aleje Wojska Polskiego 50;2593/2020;2020.08.01;3;114
2042;63-300 Pleszew, ALEJE WOJSKA POLSKIEGO 54;164/2023;2023.02.01;3;117
2043;63-300 Pleszew, Aleje Wojska Polskiego 56;;2019.02.01;6;234
2044;63-300 Pleszew, Aleje Wojska Polskiego 58;;2019.02.01;5;195
2045;63-300 Pleszew, Aleje Wojska Polskiego 60;;2019.02.01;3;117
2046;63-300 Pleszew, Aleje Wojska Polskiego 62;389/2025;2025.02.01;4;156
2047;63-300 Pleszew, Aleje Wojska Polskiego 64;531/2023;2023.01.01;6;234
2048;63-300 Pleszew, Aleje Wojska Polskiego 66;;2019.02.01;2;78
2049;63-300 Pleszew, Aleje Wojska Polskiego 68;721/2025;2025.01.01;3;117
2050;63-300 Pleszew, Anny Jagiellonki 3;1677/2022;2022.10.01;4;156
2051;63-300 Pleszew, Anny Jagiellonki 5;90/2024;2024.02.01;3;117
2052;63-300 Pleszew, Anny Jagiellonki 6;51/2023;2023.01.01;1;39
2053;63-300 Pleszew, Armii PoznaÒ 1;1581/2025;2025.06.01;22;858
2054;63-300 Pleszew, Armii PoznaÒ 2/1;;2019.02.01;1;39
2055;63-300 Pleszew, Armii PoznaÒ 2/2;492/2024;2024.03.01;5;195
2056;63-300 Pleszew, Armii PoznaÒ 3;706/2024;2024.06.01;5;195
2057;63-300 Pleszew, Armii PoznaÒ 4;1519/2025;2025.06.01;5;195
2058;63-300 Pleszew, Armii PoznaÒ 5;;2019.02.01;4;156
2059;63-300 Pleszew, Armii PoznaÒ 7;2031/2025;2025.12.01;1;39
2060;63-300 Pleszew, ARMII POZNA— 8;477/2024;2024.05.01;5;195
2061;63-300 Pleszew, Armii PoznaÒ 9;;2019.02.01;2;78
2062;63-300 Pleszew, Armii PoznaÒ 10;;2019.02.01;1;39
2063;63-300 Pleszew, Armii PoznaÒ 11;1200/2023;2023.09.01;2;78
2064;63-300 Pleszew, Armii PoznaÒ 12;300/2023;2023.02.01;2;78
2065;63-300 Pleszew, Armii PoznaÒ 13;1698/2025;2025.09.01;4;156
2066;63-300 Pleszew, Armii PoznaÒ 14;632/2023;2023.04.01;4;156
2067;63-300 Pleszew, ARMII POZNA— 15;590/2023;2023.04.01;5;195
2068;63-300 Pleszew, Asnyka 2;1120/2024;2024.10.01;1;39
2069;63-300 Pleszew, ASNYKA 4;239/2023;2023.01.01;3;117
2070;63-300 Pleszew, Ba≥tycka 2;;2019.02.01;2;78
2071;63-300 Pleszew, Ba≥tycka 3;;2019.02.01;4;156
2072;63-300 Pleszew, Ba≥tycka 5;;2019.02.01;2;78
2073;63-300 Pleszew, Ba≥tycka 13;;2019.02.01;4;156
2074;63-300 Pleszew, Ba≥tycka 15;1191/2025;2025.04.01;2;78
2075;63-300 Pleszew, B≥otna 1;3389/2020;2020.10.01;1;39
2076;63-300 Pleszew, B≥otna 2;;2020.01.01;4;156
2077;63-300 Pleszew, B≥otna 2A;1454/2025;2025.07.01;2;78
2078;63-300 Pleszew, B≥otna 3;1329/2021;2021.01.01;7;273
2079;63-300 Pleszew, B≥otna 5;;2019.02.01;1;39
2080;63-300 Pleszew, Boles≥awa Chrobrego 5;536/2023;2023.04.01;4;156
2081;63-300 Pleszew, Boles≥awa Chrobrego 6;367/2023;2023.02.01;2;76
2082;63-300 Pleszew, Boles≥awa Chrobrego 9;272/2026;2026.01.01;5;195
2083;63-300 Pleszew, Boles≥awa Chrobrego 10;;2019.02.01;4;156
2084;63-300 Pleszew, BOLES£AWA KRZYWOUSTEGO 1/1;675/2023;2023.04.01;1;39
2085;63-300 Pleszew, Boles≥awa Krzywoustego 1/2;;2019.02.01;4;156
2086;63-300 Pleszew, Boles≥awa Krzywoustego 2;;2019.02.01;4;156
2087;63-300 Pleszew, Boles≥awa Krzywoustego 2A;1661/2025;2025.08.01;26;1014
2088;63-300 Pleszew, Boles≥awa Krzywoustego 4/1;214/2026;2026.01.01;1;39
2089;63-300 Pleszew, Boles≥awa Krzywoustego 5;2466/2025;2026.01.01;67;2613
2090;63-300 Pleszew, Boles≥awa Krzywoustego 7 i 11;2023/2025;2025.10.01;167;6513
2091;63-300 Pleszew, Boles≥awa Krzywoustego 8;;2019.02.01;4;156
2092;63-300 Pleszew, Boles≥awa Krzywoustego 9;1710/2025;2025.08.01;73;2847
2093;63-300 Pleszew, Boles≥awa Krzywoustego 10;;2019.02.01;1;39
2094;63-300 Pleszew, Boles≥awa Krzywoustego 12;878/2025;2025.02.01;5;195
2095;63-300 Pleszew, Boles≥awa Krzywoustego 13;2464/2025;2026.01.01;56;2184
2096;63-300 Pleszew, Boles≥awa Krzywoustego 15;2442/2025;2026.01.01;87;3393
2097;63-300 Pleszew, Boles≥awa åmia≥ego 1;;2019.02.01;6;234
2098;63-300 Pleszew, Boles≥awa åmia≥ego 2;31/2024;2023.09.01;2;78
2099;63-300 Pleszew, Boles≥awa åmia≥ego 3;;2019.02.01;4;156
2100;63-300 Pleszew, Boles≥awa åmia≥ego 4;;2019.02.01;2;78
2101;63-300 Pleszew, Boles≥awa åmia≥ego 5;;2019.02.01;4;156
2102;63-300 Pleszew, Boles≥awa åmia≥ego 6;1695/2021;2021.09.01;6;234
2103;63-300 Pleszew, Boles≥awa åmia≥ego 7;;2019.02.01;3;117
2104;63-300 Pleszew, Boles≥awa åmia≥ego 8;781/2022;2022.06.01;2;78
2105;63-300 Pleszew, Boles≥awa åmia≥ego 9;;2020.01.01;1;39
2106;63-300 Pleszew, Boles≥awa åmia≥ego 10;;2019.02.01;2;78
2107;63-300 Pleszew, Boles≥awa åmia≥ego 11;;2019.02.01;2;78
2108;63-300 Pleszew, Boles≥awa åmia≥ego 12;856/2023;2023.06.01;1;39
2109;63-300 Pleszew, Boles≥awa åmia≥ego 13;1302/2025;2025.06.01;3;117
2110;63-300 Pleszew, Boles≥awa åmia≥ego 14;;2019.02.01;2;78
2111;63-300 Pleszew, Boles≥awa åmia≥ego 15;;2019.02.01;4;156
2112;63-300 Pleszew, Boles≥awa åmia≥ego 16;54/2024;2024.01.01;6;234
2113;63-300 Pleszew, Bursztynowa 2A;976/2023;2023.08.01;4;156
2114;63-300 Pleszew, BURSZTYNOWA 4A;2061/2022;2023.01.01;3;117
2115;63-300 Pleszew, Bursztynowa 4B;2079/2025;2025.12.01;3;117
2116;63-300 Pleszew, Bursztynowa  6A;878/2024;2024.08.01;1;39
2117;63-300 Pleszew, Bursztynowa 8B;230/2024;2024.02.01;4;156
2118;63-300 Pleszew, Bursztynowa 10A;802/2024;2024.07.01;3;117
2119;63-300 Pleszew, Bursztynowa 10B;1670/2023;2023.12.01;4;156
2120;63-300 Pleszew, Bursztynowa 12A;792/2024;2024.07.01;2;78
2121;63-300 Pleszew, Bursztynowa 12B;68/2025;2025.01.01;4;156
2122;63-300 Pleszew, Che≥moÒskiego 1;1408/2024;2024.10.01;4;156
2123;63-300 Pleszew, Che≥moÒskiego 2;2873/2020;2020.10.01;2;78
2124;63-300 Pleszew, CHE£MO—SKIEGO 3;1583/2022;2022.10.01;1;39
2125;63-300 Pleszew, Che≥moÒskiego 4;;2019.02.01;2;78
2126;63-300 Pleszew, Che≥moÒskiego 5;;2019.02.01;4;156
2127;63-300 Pleszew, Che≥moÒskiego 6;1416/2024;2024.11.01;4;156
2128;63-300 Pleszew, Che≥moÒskiego 7;;2019.02.01;3;117
2129;63-300 Pleszew, Che≥moÒskiego 8;2301/2025;2026.01.01;5;195
2130;63-300 Pleszew, Che≥moÒskiego 9;203/2021;2021.02.01;4;156
2131;63-300 Pleszew, Che≥moÒskiego 10;1278/2024;2024.11.01;5;195
2132;63-300 Pleszew, Che≥moÒskiego 11;665/2022;2022.04.01;4;156
2133;63-300 Pleszew, Che≥moÒskiego 12;744/2021;2021.04.01;4;156
2134;63-300 Pleszew, Chopina 1;;2020.01.01;1;39
2135;63-300 Pleszew, Chopina 3;1153/2022;2022.09.01;3;117
2136;63-300 Pleszew, Chopina 4;1441/2025;2025.07.01;4;156
2137;63-300 Pleszew, Chopina 5;;2019.02.01;2;78
2138;63-300 Pleszew, Chopina 6;1489/2022;2022.10.01;2;78
2139;63-300 Pleszew, Chopina 6;781/2023;2023.06.01;1;39
2140;63-300 Pleszew, CHOPINA 7;775/2025;2025.01.01;5;195
2141;63-300 Pleszew, Chopina 8;1826/2022;2023.01.01;1;38
2142;63-300 Pleszew, Chopina 9;;2019.02.01;2;78
2143;63-300 Pleszew, Chopina 10;;2019.02.01;1;39
2144;63-300 Pleszew, Chopina 11;;2019.02.01;2;78
2145;63-300 Pleszew, Chopina 12;161/2024;2024.01.01;1;39
2146;63-300 Pleszew, Chopina 13;;2020.01.01;3;117
2147;63-300 Pleszew, Chopina 14;501/2023;2023.04.01;2;78
2148;63-300 Pleszew, Chopina 15;;2019.02.01;3;117
2149;63-300 Pleszew, Chopina 15A;993/2022;2022.07.01;2;78
2150;63-300 Pleszew, Chopina 16;;2019.02.01;6;234
2151;63-300 Pleszew, Chopina 17;;2019.02.01;4;156
2152;63-300 Pleszew, Chopina 18;;2019.02.01;1;39
2153;63-300 Pleszew, Chopina 19;;2019.02.01;4;156
2154;63-300 Pleszew, Chopina 20;;2019.02.01;1;39
2155;63-300 Pleszew, Chopina 21;1980/2025;2025.10.01;6;234
2156;63-300 Pleszew, Chopina 22;42/2026;2026.01.01;5;195
2157;63-300 Pleszew, CHOPINA 23;449/2024;2024.04.01;10;390
2158;63-300 Pleszew, Chopina 24;;2019.02.01;2;78
2159;63-300 Pleszew, Chopina 25;3127/2020;2020.09.01;3;114
2160;63-300 Pleszew, Chopina 26;;2019.02.01;2;78
2161;63-300 Pleszew, Chopina 27;;2019.02.01;5;195
2162;63-300 Pleszew, Chopina 28;;2019.02.01;2;78
2163;63-300 Pleszew, Chopina 29;1911/2025;2025.08.01;4;156
2164;63-300 Pleszew, Chopina 30;634/2021;2021.04.01;2;78
2165;63-300 Pleszew, Chopina 31;;2019.02.01;1;39
2166;63-300 Pleszew, Chopina 32;;2020.01.01;4;156
2167;63-300 Pleszew, Chopina 33;2806/2020;2020.09.01;3;117
2168;63-300 Pleszew, Cicha 1 A;460/2023;2023.02.01;3;117
2169;63-300 Pleszew, Cicha 1B;897/2024;2024.08.01;4;156
2170;63-300 Pleszew, Cicha 2;1005/2021;2020.11.01;4;156
2171;63-300 Pleszew, Cicha 3;;2019.03.11;2;78
2172;63-300 Pleszew, Cicha 5;1043/2023;2023.08.01;1;39
2173;63-300 Pleszew, Cicha 5a;2016/2022;2023.01.01;3;117
